S.no,District,Transaction_count,Transaction_amount,Quarter,Year,State
8093,parbhani district,126868,109058549.6,1,2018,maharashtra
8094,mumbai suburban district,1444587,2385242801,1,2018,maharashtra
8095,hingoli district,70314,57281673.81,1,2018,maharashtra
8096,ratnagiri district,57950,68234354.15,1,2018,maharashtra
8097,nanded district,221472,195376791.8,1,2018,maharashtra
8098,osmanabad district,129616,137513718,1,2018,maharashtra
8099,nagpur district,592456,781981176.2,1,2018,maharashtra
8100,buldhana district,211789,213497260.9,1,2018,maharashtra
8101,nashik district,669259,874435847.1,1,2018,maharashtra
8102,akola district,112541,98691994.84,1,2018,maharashtra
8103,yavatmal district,120864,120777011.3,1,2018,maharashtra
8104,aurangabad district,620430,680361961.6,1,2018,maharashtra
8105,amravati district,219644,203490300.9,1,2018,maharashtra
8106,washim district,60452,53956265.55,1,2018,maharashtra
8107,sangli district,231021,241538564.3,1,2018,maharashtra
8108,gadchiroli district,50072,50790947.9,1,2018,maharashtra
8109,raigad district,310127,481978060.4,1,2018,maharashtra
8110,palghar district,316766,432288177.6,1,2018,maharashtra
8111,jalna district,154861,147117543.1,1,2018,maharashtra
8112,gondia district,96798,94654514.07,1,2018,maharashtra
8113,ahmednagar district,438972,522540233.7,1,2018,maharashtra
8114,pune district,3842929,5378982327,1,2018,maharashtra
8115,beed district,146374,149979287.1,1,2018,maharashtra
8116,satara district,247012,264857537.4,1,2018,maharashtra
8117,jalgaon district,456493,640487534.2,2,2018,maharashtra
8118,latur district,348856,459161764.3,2,2018,maharashtra
8119,thane district,1773084,3339349832,2,2018,maharashtra
8120,bhandara district,142191,155791247.1,2,2018,maharashtra
8121,nandurbar district,81758,129892439.5,2,2018,maharashtra
8122,chandrapur district,218475,273995050.8,2,2018,maharashtra
8123,kolhapur district,459551,602368098.7,2,2018,maharashtra
8124,solapur district,657732,1017429009,2,2018,maharashtra
8125,mumbai district,3277612,6048515206,2,2018,maharashtra
8126,sindhudurg district,59117,82415986.89,2,2018,maharashtra
8127,dhule district,193300,272204202.3,2,2018,maharashtra
8128,wardha district,153356,194612545.4,2,2018,maharashtra
8129,parbhani district,165911,209686461.8,2,2018,maharashtra
8130,mumbai suburban district,2055232,3877425977,2,2018,maharashtra
8131,hingoli district,99174,117125956.8,2,2018,maharashtra
8132,ratnagiri district,88067,127489340.1,2,2018,maharashtra
8133,nanded district,301594,409059135.8,2,2018,maharashtra
8134,osmanabad district,180136,259621224.3,2,2018,maharashtra
8135,nagpur district,792349,1325086381,2,2018,maharashtra
8136,buldhana district,289553,423294588.8,2,2018,maharashtra
8137,nashik district,956098,1502940957,2,2018,maharashtra
8138,akola district,150414,180567458.5,2,2018,maharashtra
8139,yavatmal district,175489,228933313.4,2,2018,maharashtra
8140,aurangabad district,789032,1121247393,2,2018,maharashtra
8141,amravati district,296011,374738414.3,2,2018,maharashtra
8142,washim district,88839,107100711.2,2,2018,maharashtra
8143,sangli district,317849,457068759,2,2018,maharashtra
8144,gadchiroli district,78306,105087908.6,2,2018,maharashtra
8145,raigad district,469802,849899520.1,2,2018,maharashtra
8146,palghar district,467130,737532817.4,2,2018,maharashtra
8147,jalna district,204649,264258550.2,2,2018,maharashtra
8148,gondia district,148668,195516935.3,2,2018,maharashtra
8149,ahmednagar district,616058,960786263.2,2,2018,maharashtra
8150,pune district,5162876,8513428063,2,2018,maharashtra
8151,beed district,213528,305485923.2,2,2018,maharashtra
8152,satara district,357450,487452271.9,2,2018,maharashtra
8153,jalgaon district,595180,896878047.4,3,2018,maharashtra
8154,latur district,420545,638779718.8,3,2018,maharashtra
8155,thane district,2611297,4941785823,3,2018,maharashtra
8156,bhandara district,175526,215305769.8,3,2018,maharashtra
8157,nandurbar district,108557,177379382,3,2018,maharashtra
8158,chandrapur district,285271,378940738.6,3,2018,maharashtra
8159,kolhapur district,639398,874723680.9,3,2018,maharashtra
8160,solapur district,957281,1548416429,3,2018,maharashtra
8161,mumbai district,4090811,7438893352,3,2018,maharashtra
8162,sindhudurg district,76130,112870065.2,3,2018,maharashtra
8163,dhule district,245060,391278436.1,3,2018,maharashtra
8164,wardha district,208207,281115528.9,3,2018,maharashtra
8165,parbhani district,204284,299298112.8,3,2018,maharashtra
8166,mumbai suburban district,3049903,5567618775,3,2018,maharashtra
8167,hingoli district,128836,169654673.9,3,2018,maharashtra
8168,ratnagiri district,129543,198754527.9,3,2018,maharashtra
8169,nanded district,407264,602425178.1,3,2018,maharashtra
8170,osmanabad district,240387,395725693.6,3,2018,maharashtra
8171,nagpur district,1215989,2003870351,3,2018,maharashtra
8172,buldhana district,382228,573668890,3,2018,maharashtra
8173,nashik district,1321016,2243065274,3,2018,maharashtra
8174,akola district,186781,254195648,3,2018,maharashtra
8175,yavatmal district,229128,325149291.4,3,2018,maharashtra
8176,aurangabad district,1171650,1755607885,3,2018,maharashtra
8177,amravati district,369988,513806091.5,3,2018,maharashtra
8178,washim district,110307,150817671.9,3,2018,maharashtra
8179,sangli district,427506,646572362.1,3,2018,maharashtra
8180,gadchiroli district,109208,146811496.7,3,2018,maharashtra
8181,raigad district,717318,1362324763,3,2018,maharashtra
8182,palghar district,715144,1175030903,3,2018,maharashtra
8183,jalna district,279281,404800031.1,3,2018,maharashtra
8184,gondia district,188257,254848811.8,3,2018,maharashtra
8185,ahmednagar district,842685,1476318517,3,2018,maharashtra
8186,pune district,7890491,12601613622,3,2018,maharashtra
8187,beed district,297477,500263881,3,2018,maharashtra
8188,satara district,510604,742208310.5,3,2018,maharashtra
8189,jalgaon district,879950,1387232648,4,2018,maharashtra
8190,latur district,628803,1044674193,4,2018,maharashtra
8191,thane district,4198385,7592415202,4,2018,maharashtra
8192,bhandara district,245846,343102837.9,4,2018,maharashtra
8193,nandurbar district,157820,281964593.4,4,2018,maharashtra
8194,chandrapur district,382372,578542133.4,4,2018,maharashtra
8195,kolhapur district,913594,1357184980,4,2018,maharashtra
8196,solapur district,1266285,2368140885,4,2018,maharashtra
8197,mumbai district,6060284,11506143747,4,2018,maharashtra
8198,sindhudurg district,114717,170841017.2,4,2018,maharashtra
8199,dhule district,368312,649397538.9,4,2018,maharashtra
8200,wardha district,280783,395087302.2,4,2018,maharashtra
8201,parbhani district,308504,500061055.1,4,2018,maharashtra
8202,mumbai suburban district,4635750,8268990734,4,2018,maharashtra
8203,hingoli district,176257,271534119.9,4,2018,maharashtra
8204,ratnagiri district,183226,299659904.1,4,2018,maharashtra
8205,nanded district,587651,997762155.8,4,2018,maharashtra
8206,osmanabad district,361661,675413933.6,4,2018,maharashtra
8207,nagpur district,1884842,3079870458,4,2018,maharashtra
8208,buldhana district,548395,882485735.8,4,2018,maharashtra
8209,nashik district,1881354,3510737505,4,2018,maharashtra
8210,akola district,291472,438566131.3,4,2018,maharashtra
8211,yavatmal district,328480,522099654.3,4,2018,maharashtra
8212,aurangabad district,1685901,2758523356,4,2018,maharashtra
8213,amravati district,546615,835558011.8,4,2018,maharashtra
8214,washim district,162834,248532488.3,4,2018,maharashtra
8215,sangli district,585846,988564434.3,4,2018,maharashtra
8216,gadchiroli district,155411,258205021.1,4,2018,maharashtra
8217,raigad district,1080514,2059234954,4,2018,maharashtra
8218,palghar district,1088141,1842460037,4,2018,maharashtra
8219,jalna district,389658,644345419.4,4,2018,maharashtra
8220,gondia district,254253,379834364.6,4,2018,maharashtra
8221,ahmednagar district,1226980,2363347728,4,2018,maharashtra
8222,pune district,11075153,18048884123,4,2018,maharashtra
8223,beed district,437218,815542341,4,2018,maharashtra
8224,satara district,716956,1153996303,4,2018,maharashtra
8225,jalgaon district,1166142,1704195098,1,2019,maharashtra
8226,latur district,814951,1277230492,1,2019,maharashtra
8227,thane district,6590587,10262365752,1,2019,maharashtra
8228,bhandara district,328528,426999029.5,1,2019,maharashtra
8229,nandurbar district,206076,349111023.7,1,2019,maharashtra
8230,chandrapur district,509133,720273330.3,1,2019,maharashtra
8231,kolhapur district,1373093,1733326290,1,2019,maharashtra
8232,solapur district,1711532,2915291684,1,2019,maharashtra
8233,mumbai district,8672352,14116666928,1,2019,maharashtra
8234,sindhudurg district,159703,216638644.3,1,2019,maharashtra
8235,dhule district,481989,778664915.1,1,2019,maharashtra
8236,wardha district,406198,519500777.5,1,2019,maharashtra
8237,parbhani district,406124,607842380.3,1,2019,maharashtra
8238,mumbai suburban district,6743762,10706972932,1,2019,maharashtra
8239,hingoli district,223427,321855147.6,1,2019,maharashtra
8240,ratnagiri district,258764,398004227.6,1,2019,maharashtra
8241,nanded district,817852,1239777866,1,2019,maharashtra
8242,osmanabad district,465021,808510690.9,1,2019,maharashtra
8243,nagpur district,3417783,4445200036,1,2019,maharashtra
8244,buldhana district,749376,1115611509,1,2019,maharashtra
8245,nashik district,2967544,4544409151,1,2019,maharashtra
8246,akola district,401169,573192717.5,1,2019,maharashtra
8247,yavatmal district,423865,637806093.8,1,2019,maharashtra
8248,aurangabad district,2792378,3834151759,1,2019,maharashtra
8249,amravati district,891044,1160772454,1,2019,maharashtra
8250,washim district,223071,316764165.2,1,2019,maharashtra
8251,sangli district,817265,1229806748,1,2019,maharashtra
8252,gadchiroli district,188507,295257579.6,1,2019,maharashtra
8253,raigad district,1659791,2711861731,1,2019,maharashtra
8254,palghar district,1719894,2564696463,1,2019,maharashtra
8255,jalna district,540378,829777003.2,1,2019,maharashtra
8256,gondia district,318147,451807952,1,2019,maharashtra
8257,ahmednagar district,1729326,2957722310,1,2019,maharashtra
8258,pune district,23360634,32233517414,1,2019,maharashtra
8259,beed district,559625,961104354.1,1,2019,maharashtra
8260,satara district,984038,1454004270,1,2019,maharashtra
8261,jalgaon district,1123667,1987153740,2,2019,maharashtra
8262,latur district,821241,1532318207,2,2019,maharashtra
8263,thane district,7530876,12313829091,2,2019,maharashtra
8264,bhandara district,329931,508608915.3,2,2019,maharashtra
8265,nandurbar district,204845,406262640.2,2,2019,maharashtra
8266,chandrapur district,505590,843953477.7,2,2019,maharashtra
8267,kolhapur district,1253641,1952877335,2,2019,maharashtra
8268,solapur district,1820589,3474067537,2,2019,maharashtra
8269,mumbai district,9050682,16756255698,2,2019,maharashtra
8270,sindhudurg district,168005,267975447.9,2,2019,maharashtra
8271,dhule district,484195,925482256.7,2,2019,maharashtra
8272,wardha district,403626,641914714.8,2,2019,maharashtra
8273,parbhani district,410613,732188553.4,2,2019,maharashtra
8274,mumbai suburban district,7064507,11847987143,2,2019,maharashtra
8275,hingoli district,217343,370793561.1,2,2019,maharashtra
8276,ratnagiri district,278354,455259892.8,2,2019,maharashtra
8277,nanded district,808316,1504083843,2,2019,maharashtra
8278,osmanabad district,514655,1079435439,2,2019,maharashtra
8279,nagpur district,4188658,6025414880,2,2019,maharashtra
8280,buldhana district,741166,1389178177,2,2019,maharashtra
8281,nashik district,3923883,5791332954,2,2019,maharashtra
8282,akola district,400952,683190889.9,2,2019,maharashtra
8283,yavatmal district,438803,763726559.9,2,2019,maharashtra
8284,aurangabad district,3396197,4796542322,2,2019,maharashtra
8285,amravati district,1157518,1571775687,2,2019,maharashtra
8286,washim district,226637,401545837.8,2,2019,maharashtra
8287,sangli district,802674,1395547881,2,2019,maharashtra
8288,gadchiroli district,208387,376010286.7,2,2019,maharashtra
8289,raigad district,1818926,3167985278,2,2019,maharashtra
8290,palghar district,1781149,2904323069,2,2019,maharashtra
8291,jalna district,531441,959504219.5,2,2019,maharashtra
8292,gondia district,302812,516246159.6,2,2019,maharashtra
8293,ahmednagar district,1790440,3545962731,2,2019,maharashtra
8294,pune district,44795652,58398808592,2,2019,maharashtra
8295,beed district,608584,1267243984,2,2019,maharashtra
8296,satara district,1045298,1739683086,2,2019,maharashtra
8297,jalgaon district,1539403,2407096456,3,2019,maharashtra
8298,latur district,1113069,1822300594,3,2019,maharashtra
8299,thane district,11231012,16108408587,3,2019,maharashtra
8300,bhandara district,431793,595245230.3,3,2019,maharashtra
8301,nandurbar district,277232,483568002.8,3,2019,maharashtra
8302,chandrapur district,687068,988514700.4,3,2019,maharashtra
8303,kolhapur district,1767210,2378707450,3,2019,maharashtra
8304,solapur district,2841225,4598818500,3,2019,maharashtra
8305,mumbai district,10401047,19947302478,3,2019,maharashtra
8306,sindhudurg district,211699,286914091.7,3,2019,maharashtra
8307,dhule district,653540,1121757551,3,2019,maharashtra
8308,wardha district,537284,750934405.1,3,2019,maharashtra
8309,parbhani district,568673,915373769.8,3,2019,maharashtra
8310,mumbai suburban district,10319061,15257508401,3,2019,maharashtra
8311,hingoli district,299371,468030814.6,3,2019,maharashtra
8312,ratnagiri district,366958,511184959.7,3,2019,maharashtra
8313,nanded district,1095647,1849133739,3,2019,maharashtra
8314,osmanabad district,719297,1287888230,3,2019,maharashtra
8315,nagpur district,6165553,7727440587,3,2019,maharashtra
8316,buldhana district,960929,1646026620,3,2019,maharashtra
8317,nashik district,7028066,8460253081,3,2019,maharashtra
8318,akola district,545110,804373588.8,3,2019,maharashtra
8319,yavatmal district,597079,910273809.9,3,2019,maharashtra
8320,aurangabad district,5823390,6977918217,3,2019,maharashtra
8321,amravati district,1801245,2115345246,3,2019,maharashtra
8322,washim district,302180,468356873.8,3,2019,maharashtra
8323,sangli district,1106146,1679396554,3,2019,maharashtra
8324,gadchiroli district,278888,454327510,3,2019,maharashtra
8325,raigad district,2748252,4158566617,3,2019,maharashtra
8326,palghar district,2699901,3821592290,3,2019,maharashtra
8327,jalna district,855316,1308056579,3,2019,maharashtra
8328,gondia district,397041,622169383.2,3,2019,maharashtra
8329,ahmednagar district,2826165,4766032718,3,2019,maharashtra
8330,pune district,67093416,78128868958,3,2019,maharashtra
8331,beed district,855427,1592813356,3,2019,maharashtra
8332,satara district,1590888,2197006792,3,2019,maharashtra
8333,jalgaon district,2235555,3522575734,4,2019,maharashtra
8334,latur district,1574163,2684939407,4,2019,maharashtra
8335,thane district,13830713,20280076921,4,2019,maharashtra
8336,bhandara district,556898,805259870.3,4,2019,maharashtra
8337,nandurbar district,384764,683745126.4,4,2019,maharashtra
8338,chandrapur district,909203,1375587784,4,2019,maharashtra
8339,kolhapur district,2441776,3475989478,4,2019,maharashtra
8340,solapur district,3759589,6462184396,4,2019,maharashtra
8341,mumbai district,14329105,29174555413,4,2019,maharashtra
8342,sindhudurg district,254829,370375053,4,2019,maharashtra
8343,dhule district,960516,1668923517,4,2019,maharashtra
8344,wardha district,660720,983370585.3,4,2019,maharashtra
8345,parbhani district,798141,1325863293,4,2019,maharashtra
8346,mumbai suburban district,12837253,20156220719,4,2019,maharashtra
8347,hingoli district,400633,652664241.2,4,2019,maharashtra
8348,ratnagiri district,446975,659536071.5,4,2019,maharashtra
8349,nanded district,1570164,2661286484,4,2019,maharashtra
8350,osmanabad district,1031345,1878342242,4,2019,maharashtra
8351,nagpur district,8223885,10735621489,4,2019,maharashtra
8352,buldhana district,1362337,2461875481,4,2019,maharashtra
8353,nashik district,10054198,12613474577,4,2019,maharashtra
8354,akola district,790624,1176167690,4,2019,maharashtra
8355,yavatmal district,814563,1288427243,4,2019,maharashtra
8356,aurangabad district,8161133,10014948231,4,2019,maharashtra
8357,amravati district,2436587,3104891522,4,2019,maharashtra
8358,washim district,485744,824112268.5,4,2019,maharashtra
8359,sangli district,1588563,2481750507,4,2019,maharashtra
8360,gadchiroli district,351716,594431236.3,4,2019,maharashtra
8361,raigad district,3562595,5355626918,4,2019,maharashtra
8362,palghar district,3271051,4907450613,4,2019,maharashtra
8363,jalna district,1196313,1920892463,4,2019,maharashtra
8364,gondia district,514670,826397019,4,2019,maharashtra
8365,ahmednagar district,4236391,7088367323,4,2019,maharashtra
8366,pune district,91666565,1.03E+11,4,2019,maharashtra
8367,beed district,1213228,2276197459,4,2019,maharashtra
8368,satara district,2348115,3231655556,4,2019,maharashtra
8369,jalgaon district,2925407,4531030324,1,2020,maharashtra
8370,latur district,2119578,3427202030,1,2020,maharashtra
8371,thane district,15699451,22551048276,1,2020,maharashtra
8372,bhandara district,687372,1008982165,1,2020,maharashtra
8373,nandurbar district,509151,911013926,1,2020,maharashtra
8374,chandrapur district,1186408,1689623390,1,2020,maharashtra
8375,kolhapur district,3119430,4306037467,1,2020,maharashtra
8376,solapur district,4939298,8556069047,1,2020,maharashtra
8377,mumbai district,4716907,8325816942,1,2020,maharashtra
8378,sindhudurg district,322511,452020116.2,1,2020,maharashtra
8379,dhule district,1264091,2087577880,1,2020,maharashtra
8380,wardha district,806699,1183933213,1,2020,maharashtra
8381,parbhani district,1045807,1692841975,1,2020,maharashtra
8382,mumbai suburban district,23598054,40462122570,1,2020,maharashtra
8383,hingoli district,519908,822174351.2,1,2020,maharashtra
8384,ratnagiri district,588589,815643605.8,1,2020,maharashtra
8385,nanded district,2043375,3378753901,1,2020,maharashtra
8386,osmanabad district,1418537,2444615225,1,2020,maharashtra
8387,nagpur district,10765004,15125508374,1,2020,maharashtra
8388,buldhana district,1755077,3173978680,1,2020,maharashtra
8389,nashik district,12019521,15505749977,1,2020,maharashtra
8390,akola district,964703,1401166453,1,2020,maharashtra
8391,yavatmal district,1062147,1665121779,1,2020,maharashtra
8392,aurangabad district,9438690,11942430957,1,2020,maharashtra
8393,amravati district,2854580,3698477118,1,2020,maharashtra
8394,washim district,2080496,4501861141,1,2020,maharashtra
8395,sangli district,2093409,3269991688,1,2020,maharashtra
8396,gadchiroli district,414941,675029110.2,1,2020,maharashtra
8397,raigad district,4244606,6091061427,1,2020,maharashtra
8398,palghar district,3821386,5554757052,1,2020,maharashtra
8399,jalna district,1554254,2488830260,1,2020,maharashtra
8400,gondia district,617809,1016032314,1,2020,maharashtra
8401,ahmednagar district,5518308,9057699650,1,2020,maharashtra
8402,pune district,107497963,1.19E+11,1,2020,maharashtra
8403,beed district,1616755,2914670396,1,2020,maharashtra
8404,satara district,3113859,4120146163,1,2020,maharashtra
8405,jalgaon district,3727977,6134997056,2,2020,maharashtra
8406,latur district,2772910,4472025610,2,2020,maharashtra
8407,thane district,12230364,18163626281,2,2020,maharashtra
8408,bhandara district,890538,1370441356,2,2020,maharashtra
8409,nandurbar district,766368,1344237633,2,2020,maharashtra
8410,chandrapur district,1514383,2085827481,2,2020,maharashtra
8411,kolhapur district,3390905,4716100904,2,2020,maharashtra
8412,solapur district,6271738,11057370637,2,2020,maharashtra
8413,mumbai district,2837817,4795823345,2,2020,maharashtra
8414,sindhudurg district,452629,550426816.4,2,2020,maharashtra
8415,dhule district,1706807,2865405295,2,2020,maharashtra
8416,wardha district,968066,1416490440,2,2020,maharashtra
8417,parbhani district,1460967,2399924431,2,2020,maharashtra
8418,mumbai suburban district,14673823,26603760478,2,2020,maharashtra
8419,hingoli district,775498,1223636878,2,2020,maharashtra
8420,ratnagiri district,834955,1029151098,2,2020,maharashtra
8421,nanded district,2592680,4677507608,2,2020,maharashtra
8422,osmanabad district,2058303,3600377013,2,2020,maharashtra
8423,nagpur district,8581175,13518590358,2,2020,maharashtra
8424,buldhana district,2419215,4723655180,2,2020,maharashtra
8425,nashik district,11893531,17207891613,2,2020,maharashtra
8426,akola district,1207755,1812714457,2,2020,maharashtra
8427,yavatmal district,1483416,2245522554,2,2020,maharashtra
8428,aurangabad district,7820545,11549930062,2,2020,maharashtra
8429,amravati district,2868272,4203630856,2,2020,maharashtra
8430,washim district,2533987,6099370009,2,2020,maharashtra
8431,sangli district,2593679,4046325762,2,2020,maharashtra
8432,gadchiroli district,574657,908122753.1,2,2020,maharashtra
8433,raigad district,4056198,5669347658,2,2020,maharashtra
8434,palghar district,4237438,5239353070,2,2020,maharashtra
8435,jalna district,2008102,3307905950,2,2020,maharashtra
8436,gondia district,805107,1384067598,2,2020,maharashtra
8437,ahmednagar district,6617740,11240715303,2,2020,maharashtra
8438,pune district,58840981,94890914731,2,2020,maharashtra
8439,beed district,2593890,4724429310,2,2020,maharashtra
8440,satara district,3728345,5079899574,2,2020,maharashtra
8441,jalgaon district,4687954,8431535731,3,2020,maharashtra
8442,latur district,3309492,5748283428,3,2020,maharashtra
8443,thane district,16568232,26708998225,3,2020,maharashtra
8444,bhandara district,1083453,1852362109,3,2020,maharashtra
8445,nandurbar district,910384,1720959143,3,2020,maharashtra
8446,chandrapur district,1910883,2886484303,3,2020,maharashtra
8447,kolhapur district,4272945,6608568951,3,2020,maharashtra
8448,solapur district,8375851,16121372737,3,2020,maharashtra
8449,mumbai district,3740959,6984270360,3,2020,maharashtra
8450,sindhudurg district,521528,720890129.6,3,2020,maharashtra
8451,dhule district,2146455,4076865156,3,2020,maharashtra
8452,wardha district,1171546,1930521488,3,2020,maharashtra
8453,parbhani district,1886141,3647572015,3,2020,maharashtra
8454,mumbai suburban district,20687558,38421032378,3,2020,maharashtra
8455,hingoli district,921760,1713781076,3,2020,maharashtra
8456,ratnagiri district,945643,1333106781,3,2020,maharashtra
8457,nanded district,3194923,6348462429,3,2020,maharashtra
8458,osmanabad district,2489096,4682189937,3,2020,maharashtra
8459,nagpur district,11746960,18854510865,3,2020,maharashtra
8460,buldhana district,2928610,6020031152,3,2020,maharashtra
8461,nashik district,17587671,26675908701,3,2020,maharashtra
8462,akola district,1518861,2574200193,3,2020,maharashtra
8463,yavatmal district,1743407,3032251176,3,2020,maharashtra
8464,aurangabad district,12231686,19033463159,3,2020,maharashtra
8465,amravati district,3774174,6075582865,3,2020,maharashtra
8466,washim district,2135042,4973062171,3,2020,maharashtra
8467,sangli district,3148369,5477370561,3,2020,maharashtra
8468,gadchiroli district,678774,1203705611,3,2020,maharashtra
8469,raigad district,5427408,8380993717,3,2020,maharashtra
8470,palghar district,5046305,7298216466,3,2020,maharashtra
8471,jalna district,2539902,4610124936,3,2020,maharashtra
8472,gondia district,927925,1784236182,3,2020,maharashtra
8473,ahmednagar district,8883332,16593214277,3,2020,maharashtra
8474,pune district,101472134,1.54E+11,3,2020,maharashtra
8475,beed district,3118322,6611620806,3,2020,maharashtra
8476,satara district,4577239,6804965990,3,2020,maharashtra
8477,jalgaon district,6985861,12494067002,4,2020,maharashtra
8478,latur district,5323018,9526451377,4,2020,maharashtra
8479,thane district,30073494,43911916102,4,2020,maharashtra
8480,bhandara district,1557214,2686273675,4,2020,maharashtra
8481,nandurbar district,1339578,2517220919,4,2020,maharashtra
8482,chandrapur district,2924775,4626249366,4,2020,maharashtra
8483,kolhapur district,6953772,10786069175,4,2020,maharashtra
8484,solapur district,12746918,24047679848,4,2020,maharashtra
8485,mumbai district,7347827,13445000528,4,2020,maharashtra
8486,sindhudurg district,704068,1074666906,4,2020,maharashtra
8487,dhule district,3259845,6104788321,4,2020,maharashtra
8488,wardha district,1765818,2809665510,4,2020,maharashtra
8489,parbhani district,2927074,5384672051,4,2020,maharashtra
8490,mumbai suburban district,31947471,52567087497,4,2020,maharashtra
8491,hingoli district,1323826,2457013064,4,2020,maharashtra
8492,ratnagiri district,1239737,1918661281,4,2020,maharashtra
8493,nanded district,4944241,10129280637,4,2020,maharashtra
8494,osmanabad district,3700883,7067137736,4,2020,maharashtra
8495,nagpur district,17881031,27734234062,4,2020,maharashtra
8496,buldhana district,4315634,8694631795,4,2020,maharashtra
8497,nashik district,25886584,38876096830,4,2020,maharashtra
8498,akola district,2321592,3994626252,4,2020,maharashtra
8499,yavatmal district,2582434,4650557075,4,2020,maharashtra
8500,aurangabad district,19001745,27681773653,4,2020,maharashtra
8501,amravati district,5645786,9549659612,4,2020,maharashtra
8502,washim district,5782133,13400145744,4,2020,maharashtra
8503,sangli district,4990427,8677291713,4,2020,maharashtra
8504,gadchiroli district,953205,1842068912,4,2020,maharashtra
8505,raigad district,9634903,13939207767,4,2020,maharashtra
8506,palghar district,8070045,11789420098,4,2020,maharashtra
8507,jalna district,3740553,6701628487,4,2020,maharashtra
8508,gondia district,1312868,2564702116,4,2020,maharashtra
8509,ahmednagar district,13929256,25560818871,4,2020,maharashtra
8510,pune district,142350762,1.83E+11,4,2020,maharashtra
8511,beed district,4622657,9549129679,4,2020,maharashtra
8512,satara district,7533969,10884087746,4,2020,maharashtra
8513,jalgaon district,7125707,13436630176,1,2021,maharashtra
8514,latur district,5760464,10272773259,1,2021,maharashtra
8515,thane district,33503449,48840960312,1,2021,maharashtra
8516,bhandara district,1564520,2913849253,1,2021,maharashtra
8517,nandurbar district,1383515,2901763349,1,2021,maharashtra
8518,chandrapur district,3151866,5069729589,1,2021,maharashtra
8519,kolhapur district,7652720,11901398334,1,2021,maharashtra
8520,solapur district,13720797,26445846334,1,2021,maharashtra
8521,mumbai district,8188922,15047988752,1,2021,maharashtra
8522,sindhudurg district,687743,1257865634,1,2021,maharashtra
8523,dhule district,3403609,6669525562,1,2021,maharashtra
8524,wardha district,1840914,3127038657,1,2021,maharashtra
8525,parbhani district,3263936,6070517241,1,2021,maharashtra
8526,mumbai suburban district,49079788,75911506798,1,2021,maharashtra
8527,hingoli district,1278417,2500851214,1,2021,maharashtra
8528,ratnagiri district,1238194,2129551543,1,2021,maharashtra
8529,nanded district,5176083,10853543032,1,2021,maharashtra
8530,osmanabad district,3859502,7459855804,1,2021,maharashtra
8531,nagpur district,20132732,31261594334,1,2021,maharashtra
8532,buldhana district,4321520,9192518486,1,2021,maharashtra
8533,nashik district,27235543,41832846588,1,2021,maharashtra
8534,akola district,2410033,4313676653,1,2021,maharashtra
8535,yavatmal district,2673201,5192118901,1,2021,maharashtra
8536,aurangabad district,20324679,29945191784,1,2021,maharashtra
8537,amravati district,5370072,9628361958,1,2021,maharashtra
8538,washim district,16119131,32164445523,1,2021,maharashtra
8539,sangli district,5514760,9850670767,1,2021,maharashtra
8540,gadchiroli district,959325,2010484968,1,2021,maharashtra
8541,raigad district,10673549,15596964082,1,2021,maharashtra
8542,palghar district,8313771,12738143184,1,2021,maharashtra
8543,jalna district,3795010,7135028201,1,2021,maharashtra
8544,gondia district,1400318,2892659243,1,2021,maharashtra
8545,ahmednagar district,14942900,27709537707,1,2021,maharashtra
8546,pune district,208930588,2.54E+11,1,2021,maharashtra
8547,beed district,4851168,10322699961,1,2021,maharashtra
8548,satara district,8011794,11665585733,1,2021,maharashtra
8549,jalgaon district,9203822,17827507489,2,2021,maharashtra
8550,latur district,6926698,12775603483,2,2021,maharashtra
8551,thane district,34695330,51834001818,2,2021,maharashtra
8552,bhandara district,1822721,3497598608,2,2021,maharashtra
8553,nandurbar district,1769625,3685674679,2,2021,maharashtra
8554,chandrapur district,3869197,6284653561,2,2021,maharashtra
8555,kolhapur district,8091062,13193153732,2,2021,maharashtra
8556,solapur district,16828619,33876247851,2,2021,maharashtra
8557,mumbai district,7493859,13269905417,2,2021,maharashtra
8558,sindhudurg district,744195,1343035806,2,2021,maharashtra
8559,dhule district,4332008,8554199986,2,2021,maharashtra
8560,wardha district,2139522,3699297145,2,2021,maharashtra
8561,parbhani district,4436069,8209849173,2,2021,maharashtra
8562,mumbai suburban district,51172626,79709409342,2,2021,maharashtra
8563,hingoli district,1723420,3436318357,2,2021,maharashtra
8564,ratnagiri district,1425394,2433599393,2,2021,maharashtra
8565,nanded district,6605754,14281557245,2,2021,maharashtra
8566,osmanabad district,4779631,9350468424,2,2021,maharashtra
8567,nagpur district,22506189,36690120294,2,2021,maharashtra
8568,buldhana district,5761237,12195032521,2,2021,maharashtra
8569,nashik district,28391827,47825836434,2,2021,maharashtra
8570,akola district,3118344,5603968803,2,2021,maharashtra
8571,yavatmal district,3570984,6810703586,2,2021,maharashtra
8572,aurangabad district,23744887,36191383377,2,2021,maharashtra
8573,amravati district,6482349,11779345148,2,2021,maharashtra
8574,washim district,27190170,55251595071,2,2021,maharashtra
8575,sangli district,6227375,11675925280,2,2021,maharashtra
8576,gadchiroli district,1212525,2440258252,2,2021,maharashtra
8577,raigad district,11509927,16915509520,2,2021,maharashtra
8578,palghar district,8657621,12997801117,2,2021,maharashtra
8579,jalna district,4973393,9302678916,2,2021,maharashtra
