S.no,District,RegisteredUsers,Appopens,Quarter,Year,State
3328,junagadh district,104847,969001,3,2019,gujarat
3329,mahesana district,286652,4457337,3,2019,gujarat
3330,the dangs district,8306,116253,3,2019,gujarat
3331,kheda district,162956,2432770,3,2019,gujarat
3332,surat district,1481391,21408636,3,2019,gujarat
3333,porbandar district,36834,330737,3,2019,gujarat
3334,gandhinagar district,372464,7433206,3,2019,gujarat
3335,panch mahals district,102546,1338850,3,2019,gujarat
3336,narmada district,25267,363436,3,2019,gujarat
3337,gir somnath district,88366,860095,3,2019,gujarat
3338,valsad district,266134,3902867,3,2019,gujarat
3339,mahisagar district,40679,466958,3,2019,gujarat
3340,sabar kantha district,138237,2021301,3,2019,gujarat
3341,tapi district,51028,646547,3,2019,gujarat
3342,vadodara district,637678,9548665,3,2019,gujarat
3343,banas kantha district,301373,4487309,3,2019,gujarat
3344,amreli district,101453,1176949,3,2019,gujarat
3345,ahmadabad district,1848860,35854721,3,2019,gujarat
3346,dohad district,59460,737968,3,2019,gujarat
3347,navsari district,118324,1417853,3,2019,gujarat
3348,patan district,128573,2225161,3,2019,gujarat
3349,kachchh district,285519,4167209,3,2019,gujarat
3350,surendranagar district,122518,1455000,3,2019,gujarat
3351,morbi district,101337,1215668,3,2019,gujarat
3352,anand district,252401,3905511,4,2019,gujarat
3353,jamnagar district,171337,2227178,4,2019,gujarat
3354,devbhumi dwarka district,55209,621177,4,2019,gujarat
3355,rajkot district,426178,4545689,4,2019,gujarat
3356,aravallis district,83136,1295090,4,2019,gujarat
3357,chhotaudepur district,31338,429297,4,2019,gujarat
3358,botad district,80499,1181335,4,2019,gujarat
3359,bharuch district,350619,5971371,4,2019,gujarat
3360,bhavnagar district,286520,4080547,4,2019,gujarat
3361,junagadh district,117357,1216157,4,2019,gujarat
3362,mahesana district,316985,5363608,4,2019,gujarat
3363,the dangs district,9594,151581,4,2019,gujarat
3364,kheda district,182669,2664051,4,2019,gujarat
3365,surat district,1624077,23613804,4,2019,gujarat
3366,porbandar district,40962,385502,4,2019,gujarat
3367,gandhinagar district,408526,8201437,4,2019,gujarat
3368,panch mahals district,115707,1726942,4,2019,gujarat
3369,narmada district,28910,492480,4,2019,gujarat
3370,gir somnath district,98982,1160727,4,2019,gujarat
3371,valsad district,296977,4849239,4,2019,gujarat
3372,mahisagar district,47237,629528,4,2019,gujarat
3373,sabar kantha district,155618,2589322,4,2019,gujarat
3374,tapi district,58115,863661,4,2019,gujarat
3375,vadodara district,700817,11292180,4,2019,gujarat
3376,banas kantha district,339582,5546860,4,2019,gujarat
3377,amreli district,114242,1576597,4,2019,gujarat
3378,ahmadabad district,2015947,37991904,4,2019,gujarat
3379,dohad district,69618,957179,4,2019,gujarat
3380,navsari district,131460,1723534,4,2019,gujarat
3381,patan district,144779,2497573,4,2019,gujarat
3382,kachchh district,314732,4871076,4,2019,gujarat
3383,surendranagar district,138218,1846653,4,2019,gujarat
3384,morbi district,115451,1504967,4,2019,gujarat
3385,anand district,277835,4127652,1,2020,gujarat
3386,jamnagar district,188224,2298804,1,2020,gujarat
3387,devbhumi dwarka district,61293,730723,1,2020,gujarat
3388,rajkot district,469636,5039899,1,2020,gujarat
3389,aravallis district,94716,1602742,1,2020,gujarat
3390,chhotaudepur district,36116,529547,1,2020,gujarat
3391,botad district,88241,1198952,1,2020,gujarat
3392,bharuch district,384819,6765391,1,2020,gujarat
3393,bhavnagar district,315412,4262838,1,2020,gujarat
3394,junagadh district,130231,1358193,1,2020,gujarat
3395,mahesana district,349897,6028256,1,2020,gujarat
3396,the dangs district,10877,181854,1,2020,gujarat
3397,kheda district,204548,3047323,1,2020,gujarat
3398,surat district,1772703,27362139,1,2020,gujarat
3399,porbandar district,45383,444447,1,2020,gujarat
3400,gandhinagar district,445290,8879457,1,2020,gujarat
3401,panch mahals district,129831,1963840,1,2020,gujarat
3402,narmada district,33074,595463,1,2020,gujarat
3403,gir somnath district,110211,1337958,1,2020,gujarat
3404,valsad district,330053,5604622,1,2020,gujarat
3405,mahisagar district,54880,782289,1,2020,gujarat
3406,sabar kantha district,174426,3030789,1,2020,gujarat
3407,tapi district,65634,1036092,1,2020,gujarat
3408,vadodara district,763969,12483845,1,2020,gujarat
3409,banas kantha district,386212,7051669,1,2020,gujarat
3410,amreli district,126423,1611436,1,2020,gujarat
3411,ahmadabad district,2185983,40521157,1,2020,gujarat
3412,dohad district,81529,1236284,1,2020,gujarat
3413,navsari district,146018,1993140,1,2020,gujarat
3414,patan district,164027,2890050,1,2020,gujarat
3415,kachchh district,347270,5714637,1,2020,gujarat
3416,surendranagar district,154610,2101503,1,2020,gujarat
3417,morbi district,130472,1792131,1,2020,gujarat
3418,anand district,307408,3806180,2,2020,gujarat
3419,jamnagar district,208647,2264637,2,2020,gujarat
3420,devbhumi dwarka district,69591,833260,2,2020,gujarat
3421,rajkot district,522650,4850731,2,2020,gujarat
3422,aravallis district,109491,2026596,2,2020,gujarat
3423,chhotaudepur district,43696,767414,2,2020,gujarat
3424,botad district,100129,1724159,2,2020,gujarat
3425,bharuch district,423017,6655417,2,2020,gujarat
3426,bhavnagar district,354301,5050744,2,2020,gujarat
3427,junagadh district,147012,1678274,2,2020,gujarat
3428,mahesana district,389562,6476731,2,2020,gujarat
3429,the dangs district,12754,242151,2,2020,gujarat
3430,kheda district,232123,3424229,2,2020,gujarat
3431,surat district,1935894,21659619,2,2020,gujarat
3432,porbandar district,50733,518063,2,2020,gujarat
3433,gandhinagar district,488351,7343038,2,2020,gujarat
3434,panch mahals district,148675,2136842,2,2020,gujarat
3435,narmada district,39531,762775,2,2020,gujarat
3436,gir somnath district,125777,1902233,2,2020,gujarat
3437,valsad district,372771,5991227,2,2020,gujarat
3438,mahisagar district,64428,1138847,2,2020,gujarat
3439,sabar kantha district,196035,3368537,2,2020,gujarat
3440,tapi district,76018,1298227,2,2020,gujarat
3441,vadodara district,830759,10076172,2,2020,gujarat
3442,banas kantha district,446603,8305317,2,2020,gujarat
3443,amreli district,145486,2447389,2,2020,gujarat
3444,ahmadabad district,2384154,31306891,2,2020,gujarat
3445,dohad district,102250,1808011,2,2020,gujarat
3446,navsari district,166398,2282454,2,2020,gujarat
3447,patan district,185703,3289294,2,2020,gujarat
3448,kachchh district,385480,5599740,2,2020,gujarat
3449,surendranagar district,176758,2588128,2,2020,gujarat
3450,morbi district,150472,1641032,2,2020,gujarat
3451,anand district,336799,4331672,3,2020,gujarat
3452,jamnagar district,227798,2485735,3,2020,gujarat
3453,devbhumi dwarka district,76991,860629,3,2020,gujarat
3454,rajkot district,573062,5528685,3,2020,gujarat
3455,aravallis district,122687,2133497,3,2020,gujarat
3456,chhotaudepur district,49929,741433,3,2020,gujarat
3457,botad district,109438,1607234,3,2020,gujarat
3458,bharuch district,462292,8024617,3,2020,gujarat
3459,bhavnagar district,387781,5290196,3,2020,gujarat
3460,junagadh district,163177,1718468,3,2020,gujarat
3461,mahesana district,427950,7432916,3,2020,gujarat
3462,the dangs district,14501,254123,3,2020,gujarat
3463,kheda district,256968,3629599,3,2020,gujarat
3464,surat district,2092712,23450291,3,2020,gujarat
3465,porbandar district,56130,556557,3,2020,gujarat
3466,gandhinagar district,529771,9721563,3,2020,gujarat
3467,panch mahals district,165251,2379253,3,2020,gujarat
3468,narmada district,44654,787689,3,2020,gujarat
3469,gir somnath district,139141,1786233,3,2020,gujarat
3470,valsad district,410740,6542204,3,2020,gujarat
3471,mahisagar district,73191,1039369,3,2020,gujarat
3472,sabar kantha district,218309,4022650,3,2020,gujarat
3473,tapi district,84921,1370436,3,2020,gujarat
3474,vadodara district,901492,13501217,3,2020,gujarat
3475,banas kantha district,501471,9413818,3,2020,gujarat
3476,amreli district,161288,2326604,3,2020,gujarat
3477,ahmadabad district,2580178,43984650,3,2020,gujarat
3478,dohad district,118431,1832118,3,2020,gujarat
3479,navsari district,183779,2416323,3,2020,gujarat
3480,patan district,206708,3658324,3,2020,gujarat
3481,kachchh district,423729,6675502,3,2020,gujarat
3482,surendranagar district,197594,2754011,3,2020,gujarat
3483,morbi district,168984,2144856,3,2020,gujarat
3484,anand district,367561,5362999,4,2020,gujarat
3485,jamnagar district,248187,2953949,4,2020,gujarat
3486,devbhumi dwarka district,84750,1018943,4,2020,gujarat
3487,rajkot district,627654,6696956,4,2020,gujarat
3488,aravallis district,135616,2560222,4,2020,gujarat
3489,chhotaudepur district,56282,902789,4,2020,gujarat
3490,botad district,117629,1521917,4,2020,gujarat
3491,bharuch district,508005,10786740,4,2020,gujarat
3492,bhavnagar district,419697,5661522,4,2020,gujarat
3493,junagadh district,178595,1940195,4,2020,gujarat
3494,mahesana district,464932,8801141,4,2020,gujarat
3495,the dangs district,16317,322911,4,2020,gujarat
3496,kheda district,282429,4361153,4,2020,gujarat
3497,surat district,2278232,34575532,4,2020,gujarat
3498,porbandar district,62166,676620,4,2020,gujarat
3499,gandhinagar district,572461,11718890,4,2020,gujarat
3500,panch mahals district,182696,2927538,4,2020,gujarat
3501,narmada district,50130,992643,4,2020,gujarat
3502,gir somnath district,152104,1987260,4,2020,gujarat
3503,valsad district,452628,8644503,4,2020,gujarat
3504,mahisagar district,81588,1232668,4,2020,gujarat
3505,sabar kantha district,240357,4888877,4,2020,gujarat
3506,tapi district,94476,1765259,4,2020,gujarat
3507,vadodara district,980658,17540053,4,2020,gujarat
3508,banas kantha district,551645,10634353,4,2020,gujarat
3509,amreli district,176011,2282316,4,2020,gujarat
3510,ahmadabad district,2787991,54175819,4,2020,gujarat
3511,dohad district,132954,2063724,4,2020,gujarat
3512,navsari district,201412,3007453,4,2020,gujarat
3513,patan district,227441,4369785,4,2020,gujarat
3514,kachchh district,466855,8257809,4,2020,gujarat
3515,surendranagar district,216954,3173754,4,2020,gujarat
3516,morbi district,188790,2691060,4,2020,gujarat
3517,anand district,395164,5855859,1,2021,gujarat
3518,jamnagar district,267315,3413685,1,2021,gujarat
3519,devbhumi dwarka district,91653,1125352,1,2021,gujarat
3520,rajkot district,677301,7803138,1,2021,gujarat
3521,aravallis district,146811,2774336,1,2021,gujarat
3522,chhotaudepur district,61097,970270,1,2021,gujarat
3523,botad district,126302,1642524,1,2021,gujarat
3524,bharuch district,548541,12399575,1,2021,gujarat
3525,bhavnagar district,450462,5750612,1,2021,gujarat
3526,junagadh district,192500,2001820,1,2021,gujarat
3527,mahesana district,500511,9595361,1,2021,gujarat
3528,the dangs district,17658,350858,1,2021,gujarat
3529,kheda district,304909,4828751,1,2021,gujarat
3530,surat district,2458596,41476549,1,2021,gujarat
3531,porbandar district,67063,725183,1,2021,gujarat
3532,gandhinagar district,615315,13654781,1,2021,gujarat
3533,panch mahals district,197602,3236700,1,2021,gujarat
3534,narmada district,54427,1070694,1,2021,gujarat
3535,gir somnath district,163763,2007742,1,2021,gujarat
3536,valsad district,489062,10057529,1,2021,gujarat
3537,mahisagar district,88343,1262035,1,2021,gujarat
3538,sabar kantha district,259578,5343748,1,2021,gujarat
3539,tapi district,102144,1963282,1,2021,gujarat
3540,vadodara district,1053954,20042908,1,2021,gujarat
3541,banas kantha district,598384,12443664,1,2021,gujarat
3542,amreli district,189252,2198433,1,2021,gujarat
3543,ahmadabad district,2999575,63813424,1,2021,gujarat
3544,dohad district,144445,2338472,1,2021,gujarat
3545,navsari district,216841,3189672,1,2021,gujarat
3546,patan district,246083,4877445,1,2021,gujarat
3547,kachchh district,505517,9800171,1,2021,gujarat
3548,surendranagar district,234429,3456434,1,2021,gujarat
3549,morbi district,205529,3261867,1,2021,gujarat
3550,anand district,422965,5154924,2,2021,gujarat
3551,jamnagar district,287113,5057707,2,2021,gujarat
3552,devbhumi dwarka district,98957,3134118,2,2021,gujarat
3553,rajkot district,726817,9593985,2,2021,gujarat
3554,aravallis district,158083,5332899,2,2021,gujarat
3555,chhotaudepur district,66155,3188155,2,2021,gujarat
3556,botad district,135845,3457428,2,2021,gujarat
3557,bharuch district,588777,12729351,2,2021,gujarat
3558,bhavnagar district,483224,7322593,2,2021,gujarat
3559,junagadh district,207118,4070018,2,2021,gujarat
3560,mahesana district,536645,9759520,2,2021,gujarat
3561,the dangs district,19033,1976849,2,2021,gujarat
3562,kheda district,327251,5529938,2,2021,gujarat
3563,surat district,2633443,29247704,2,2021,gujarat
3564,porbandar district,72172,1437404,2,2021,gujarat
3565,gandhinagar district,658428,9936713,2,2021,gujarat
3566,panch mahals district,212616,4678402,2,2021,gujarat
3567,narmada district,58790,3238851,2,2021,gujarat
3568,gir somnath district,176061,3419888,2,2021,gujarat
3569,valsad district,524614,9184319,2,2021,gujarat
3570,mahisagar district,95143,3203297,2,2021,gujarat
3571,sabar kantha district,278539,7088156,2,2021,gujarat
3572,tapi district,109719,4093925,2,2021,gujarat
3573,vadodara district,1127636,15605412,2,2021,gujarat
3574,banas kantha district,645073,18355543,2,2021,gujarat
3575,amreli district,204136,5600950,2,2021,gujarat
3576,ahmadabad district,3209841,43943326,2,2021,gujarat
3577,dohad district,155988,5021344,2,2021,gujarat
3578,navsari district,232448,4010253,2,2021,gujarat
3579,patan district,265040,6916848,2,2021,gujarat
3580,kachchh district,543585,17784778,2,2021,gujarat
3581,surendranagar district,253097,8057144,2,2021,gujarat
3582,morbi district,221629,5300801,2,2021,gujarat
3583,anand district,454516,6900160,3,2021,gujarat
3584,jamnagar district,309842,6879580,3,2021,gujarat
3585,devbhumi dwarka district,107517,4310397,3,2021,gujarat
3586,rajkot district,782611,13876245,3,2021,gujarat
3587,aravallis district,171101,6762291,3,2021,gujarat
3588,chhotaudepur district,72071,3853239,3,2021,gujarat
3589,botad district,146842,4926482,3,2021,gujarat
3590,bharuch district,634589,16949930,3,2021,gujarat
3591,bhavnagar district,520764,9381379,3,2021,gujarat
3592,junagadh district,223916,5211050,3,2021,gujarat
3593,mahesana district,578072,12920050,3,2021,gujarat
3594,the dangs district,20709,2684008,3,2021,gujarat
3595,kheda district,352948,7212127,3,2021,gujarat
3596,surat district,2830392,40635199,3,2021,gujarat
3597,porbandar district,78063,1911079,3,2021,gujarat
3598,gandhinagar district,706654,13323374,3,2021,gujarat
3599,panch mahals district,229915,6133463,3,2021,gujarat
3600,narmada district,63821,4425170,3,2021,gujarat
3601,gir somnath district,190336,4151926,3,2021,gujarat
3602,valsad district,565423,11974387,3,2021,gujarat
3603,mahisagar district,103140,3964068,3,2021,gujarat
3604,sabar kantha district,300258,9248561,3,2021,gujarat
3605,tapi district,118730,5066590,3,2021,gujarat
3606,vadodara district,1210266,20471153,3,2021,gujarat
3607,banas kantha district,698841,25209534,3,2021,gujarat
3608,amreli district,221334,7968878,3,2021,gujarat
3609,ahmadabad district,3445024,59071276,3,2021,gujarat
3610,dohad district,169037,6295402,3,2021,gujarat
3611,navsari district,250233,5157919,3,2021,gujarat
3612,patan district,287021,9346449,3,2021,gujarat
3613,kachchh district,587589,25294185,3,2021,gujarat
3614,surendranagar district,274891,10995970,3,2021,gujarat
3615,morbi district,240295,7475630,3,2021,gujarat
3616,anand district,485306,9981987,4,2021,gujarat
3617,jamnagar district,331942,6896774,4,2021,gujarat
3618,devbhumi dwarka district,115900,2359435,4,2021,gujarat
3619,rajkot district,837869,15665197,4,2021,gujarat
3620,aravallis district,183617,5917538,4,2021,gujarat
3621,chhotaudepur district,77777,1850678,4,2021,gujarat
3622,botad district,157462,4378199,4,2021,gujarat
3623,bharuch district,679705,23721158,4,2021,gujarat
3624,bhavnagar district,558013,10583117,4,2021,gujarat
3625,junagadh district,240022,3983195,4,2021,gujarat
3626,mahesana district,618376,18408357,4,2021,gujarat
3627,the dangs district,22325,682005,4,2021,gujarat
3628,kheda district,377827,8810443,4,2021,gujarat
3629,surat district,3026960,70043416,4,2021,gujarat
3630,porbandar district,83713,1326247,4,2021,gujarat
3631,gandhinagar district,754369,23172671,4,2021,gujarat
3632,panch mahals district,246694,6699089,4,2021,gujarat
3633,narmada district,68577,2219237,4,2021,gujarat
3634,gir somnath district,204170,4304710,4,2021,gujarat
3635,valsad district,605655,20362236,4,2021,gujarat
3636,mahisagar district,110939,2564905,4,2021,gujarat
3637,sabar kantha district,321717,10478837,4,2021,gujarat
3638,tapi district,127186,3764085,4,2021,gujarat
3639,vadodara district,1292097,33004408,4,2021,gujarat
3640,banas kantha district,751116,29341685,4,2021,gujarat
3641,amreli district,237874,5251219,4,2021,gujarat
3642,ahmadabad district,3679243,106054208,4,2021,gujarat
3643,dohad district,181787,5398314,4,2021,gujarat
3644,navsari district,267352,5803020,4,2021,gujarat
3645,patan district,308499,9755228,4,2021,gujarat
3646,kachchh district,630878,20539880,4,2021,gujarat
3647,surendranagar district,295801,7294918,4,2021,gujarat
3648,morbi district,258433,7229813,4,2021,gujarat
3649,anand district,514400,7167547,1,2022,gujarat
3650,jamnagar district,352844,11272088,1,2022,gujarat
3651,devbhumi dwarka district,123599,10163939,1,2022,gujarat
3652,rajkot district,889499,21835586,1,2022,gujarat
3653,aravallis district,195778,13826407,1,2022,gujarat
3654,chhotaudepur district,83102,9593557,1,2022,gujarat
3655,botad district,167646,11054773,1,2022,gujarat
3656,bharuch district,722367,22613416,1,2022,gujarat
3657,bhavnagar district,593259,14665634,1,2022,gujarat
3658,junagadh district,255421,10584411,1,2022,gujarat
3659,mahesana district,656908,15122677,1,2022,gujarat
3660,the dangs district,23744,5058807,1,2022,gujarat
3661,kheda district,401982,10309975,1,2022,gujarat
3662,surat district,3210535,25388620,1,2022,gujarat
3663,porbandar district,89084,3467401,1,2022,gujarat
3664,gandhinagar district,799301,9240181,1,2022,gujarat
3665,panch mahals district,263066,11638061,1,2022,gujarat
3666,narmada district,73152,10102922,1,2022,gujarat
3667,gir somnath district,217816,7182103,1,2022,gujarat
3668,valsad district,643742,11625495,1,2022,gujarat
3669,mahisagar district,118430,8605093,1,2022,gujarat
3670,sabar kantha district,342020,15498082,1,2022,gujarat
3671,tapi district,135297,8491029,1,2022,gujarat
3672,vadodara district,1368210,17275828,1,2022,gujarat
3673,banas kantha district,802470,50103535,1,2022,gujarat
3674,amreli district,253714,21192598,1,2022,gujarat
3675,ahmadabad district,3897869,37428068,1,2022,gujarat
3676,dohad district,194298,13091132,1,2022,gujarat
3677,navsari district,283795,7740515,1,2022,gujarat
3678,patan district,329312,17459087,1,2022,gujarat
3679,kachchh district,671465,46433002,1,2022,gujarat
3680,surendranagar district,315677,22854956,1,2022,gujarat
3681,morbi district,275512,13690414,1,2022,gujarat
3682,anand district,541890,7236033,2,2022,gujarat
3683,jamnagar district,372354,12188995,2,2022,gujarat
3684,devbhumi dwarka district,130591,13208562,2,2022,gujarat
3685,rajkot district,937863,24500393,2,2022,gujarat
3686,aravallis district,206898,17033575,2,2022,gujarat
3687,chhotaudepur district,87903,11318925,2,2022,gujarat
3688,botad district,177233,13628450,2,2022,gujarat
3689,bharuch district,762752,24641932,2,2022,gujarat
3690,bhavnagar district,626197,18525992,2,2022,gujarat
3691,junagadh district,269699,12317381,2,2022,gujarat
3692,mahesana district,692794,17872342,2,2022,gujarat
3693,the dangs district,25026,6868251,2,2022,gujarat
3694,kheda district,424243,11926637,2,2022,gujarat
3695,surat district,3385398,25782369,2,2022,gujarat
3696,porbandar district,93938,4290977,2,2022,gujarat
3697,gandhinagar district,841732,8826550,2,2022,gujarat
3698,panch mahals district,277783,13730984,2,2022,gujarat
3699,narmada district,77313,12964941,2,2022,gujarat
3700,gir somnath district,230290,9190564,2,2022,gujarat
3701,valsad district,679340,13855143,2,2022,gujarat
3702,mahisagar district,125105,10788262,2,2022,gujarat
3703,sabar kantha district,360675,18555269,2,2022,gujarat
3704,tapi district,142824,10380992,2,2022,gujarat
3705,vadodara district,1440949,19565706,2,2022,gujarat
3706,banas kantha district,849884,61411670,2,2022,gujarat
3707,amreli district,268232,28086720,2,2022,gujarat
3708,ahmadabad district,4105172,37385392,2,2022,gujarat
3709,dohad district,205476,16850083,2,2022,gujarat
3710,navsari district,299199,10087059,2,2022,gujarat
3711,patan district,348256,20058579,2,2022,gujarat
3712,kachchh district,709339,53661492,2,2022,gujarat
3713,surendranagar district,333698,26953553,2,2022,gujarat
3714,morbi district,291550,16249663,2,2022,gujarat
3715,anand district,570211,7663778,3,2022,gujarat
3716,jamnagar district,391677,15828687,3,2022,gujarat
3717,devbhumi dwarka district,136943,15945131,3,2022,gujarat
3718,rajkot district,986904,31404029,3,2022,gujarat
3719,aravallis district,217755,19551310,3,2022,gujarat
3720,chhotaudepur district,92089,13788338,3,2022,gujarat
3721,botad district,186625,15729417,3,2022,gujarat
3722,bharuch district,803845,24985089,3,2022,gujarat
3723,bhavnagar district,659228,22529367,3,2022,gujarat
3724,junagadh district,283145,13570972,3,2022,gujarat
3725,mahesana district,729723,21478805,3,2022,gujarat
3726,the dangs district,26180,8364976,3,2022,gujarat
3727,kheda district,446779,13172712,3,2022,gujarat
3728,surat district,3567767,25192019,3,2022,gujarat
3729,porbandar district,98587,4938585,3,2022,gujarat
3730,gandhinagar district,885535,9731484,3,2022,gujarat
3731,panch mahals district,292755,16286040,3,2022,gujarat
3732,narmada district,81169,12729908,3,2022,gujarat
3733,gir somnath district,242764,10375694,3,2022,gujarat
3734,valsad district,716467,15625470,3,2022,gujarat
3735,mahisagar district,131554,12902389,3,2022,gujarat
3736,sabar kantha district,379718,21747099,3,2022,gujarat
3737,tapi district,149968,10482703,3,2022,gujarat
3738,vadodara district,1515556,19765164,3,2022,gujarat
3739,banas kantha district,896869,77028892,3,2022,gujarat
3740,amreli district,281819,32567387,3,2022,gujarat
3741,ahmadabad district,4319512,39280139,3,2022,gujarat
3742,dohad district,216199,19811697,3,2022,gujarat
3743,navsari district,314617,9787723,3,2022,gujarat
3744,patan district,367059,22613364,3,2022,gujarat
3745,kachchh district,747079,60380130,3,2022,gujarat
3746,surendranagar district,351078,34325117,3,2022,gujarat
3747,morbi district,307545,19538289,3,2022,gujarat
3748,anand district,596600,13791621,4,2022,gujarat
3749,jamnagar district,409567,11777204,4,2022,gujarat
3750,devbhumi dwarka district,142445,4626888,4,2022,gujarat
3751,rajkot district,1033159,27915336,4,2022,gujarat
3752,aravallis district,227402,10450616,4,2022,gujarat
3753,chhotaudepur district,95806,3500701,4,2022,gujarat
3754,botad district,195219,8669321,4,2022,gujarat
3755,bharuch district,842519,37564473,4,2022,gujarat
3756,bhavnagar district,690130,18372408,4,2022,gujarat
3757,junagadh district,294941,6587448,4,2022,gujarat
3758,mahesana district,763693,29019487,4,2022,gujarat
3759,the dangs district,27218,1087847,4,2022,gujarat
3760,kheda district,467640,15216766,4,2022,gujarat
3761,surat district,3747780,110323166,4,2022,gujarat
3762,porbandar district,102643,2175841,4,2022,gujarat
3763,gandhinagar district,927585,35387014,4,2022,gujarat
3764,panch mahals district,306278,12634353,4,2022,gujarat
3765,narmada district,84596,3758056,4,2022,gujarat
3766,gir somnath district,254045,7658775,4,2022,gujarat
3767,valsad district,751767,32968847,4,2022,gujarat
3768,mahisagar district,137511,5028578,4,2022,gujarat
3769,sabar kantha district,397066,17276367,4,2022,gujarat
3770,tapi district,156189,6355677,4,2022,gujarat
3771,vadodara district,1587831,48909823,4,2022,gujarat
3772,banas kantha district,939693,54467383,4,2022,gujarat
3773,amreli district,293382,9446129,4,2022,gujarat
3774,ahmadabad district,4530853,157291084,4,2022,gujarat
3775,dohad district,226068,11309950,4,2022,gujarat
3776,navsari district,328740,8737777,4,2022,gujarat
3777,patan district,384293,15704430,4,2022,gujarat
3778,kachchh district,781383,35644500,4,2022,gujarat
3779,surendranagar district,366161,13510037,4,2022,gujarat
3780,morbi district,322150,13816692,4,2022,gujarat
3781,yamunanagar district,46198,0,1,2018,haryana
3782,sonipat district,79638,0,1,2018,haryana
3783,jind district,51815,0,1,2018,haryana
3784,rohtak district,62452,0,1,2018,haryana
3785,faridabad district,231504,0,1,2018,haryana
3786,mahendragarh district,45460,0,1,2018,haryana
3787,hisar district,113872,0,1,2018,haryana
3788,karnal district,73612,0,1,2018,haryana
3789,fatehabad district,48955,0,1,2018,haryana
3790,palwal district,48774,0,1,2018,haryana
3791,charkhi dadri district,14712,0,1,2018,haryana
3792,ambala district,54127,0,1,2018,haryana
3793,rewari district,85350,0,1,2018,haryana
3794,panchkula district,41867,0,1,2018,haryana
3795,bhiwani district,57585,0,1,2018,haryana
3796,sirsa district,70800,0,1,2018,haryana
3797,mewat district,29541,0,1,2018,haryana
3798,panipat district,74739,0,1,2018,haryana
3799,gurugram district,474081,0,1,2018,haryana
3800,kaithal district,41222,0,1,2018,haryana
3801,kurukshetra district,47932,0,1,2018,haryana
3802,jhajjar district,53121,0,1,2018,haryana
3803,yamunanagar district,62261,0,2,2018,haryana
3804,sonipat district,106837,0,2,2018,haryana
3805,jind district,68635,0,2,2018,haryana
3806,rohtak district,82822,0,2,2018,haryana
3807,faridabad district,306358,0,2,2018,haryana
3808,mahendragarh district,60336,0,2,2018,haryana
3809,hisar district,147599,0,2,2018,haryana
3810,karnal district,98276,0,2,2018,haryana
3811,fatehabad district,63066,0,2,2018,haryana
3812,palwal district,64886,0,2,2018,haryana
3813,charkhi dadri district,19559,0,2,2018,haryana
3814,ambala district,73358,0,2,2018,haryana
3815,rewari district,113056,0,2,2018,haryana
3816,panchkula district,56729,0,2,2018,haryana
3817,bhiwani district,75485,0,2,2018,haryana
3818,sirsa district,91908,0,2,2018,haryana
3819,mewat district,41358,0,2,2018,haryana
3820,panipat district,101243,0,2,2018,haryana
3821,gurugram district,621718,0,2,2018,haryana
3822,kaithal district,55832,0,2,2018,haryana
3823,kurukshetra district,64186,0,2,2018,haryana
3824,jhajjar district,71713,0,2,2018,haryana
3825,yamunanagar district,77303,0,3,2018,haryana
3826,sonipat district,132705,0,3,2018,haryana
3827,jind district,84500,0,3,2018,haryana
3828,rohtak district,101649,0,3,2018,haryana
3829,faridabad district,383316,0,3,2018,haryana
3830,mahendragarh district,74545,0,3,2018,haryana
3831,hisar district,176380,0,3,2018,haryana
3832,karnal district,121471,0,3,2018,haryana
3833,fatehabad district,75108,0,3,2018,haryana
3834,palwal district,81688,0,3,2018,haryana
3835,charkhi dadri district,24373,0,3,2018,haryana
3836,ambala district,92472,0,3,2018,haryana
3837,rewari district,138368,0,3,2018,haryana
3838,panchkula district,71245,0,3,2018,haryana
3839,bhiwani district,92291,0,3,2018,haryana
3840,sirsa district,109165,0,3,2018,haryana
3841,mewat district,53421,0,3,2018,haryana
3842,panipat district,124290,0,3,2018,haryana
3843,gurugram district,767369,0,3,2018,haryana
3844,kaithal district,68422,0,3,2018,haryana
3845,kurukshetra district,80097,0,3,2018,haryana
3846,jhajjar district,90220,0,3,2018,haryana
3847,yamunanagar district,94449,0,4,2018,haryana
3848,sonipat district,165599,0,4,2018,haryana
3849,jind district,103156,0,4,2018,haryana
3850,rohtak district,124365,0,4,2018,haryana
3851,faridabad district,521996,0,4,2018,haryana
3852,mahendragarh district,91223,0,4,2018,haryana
3853,hisar district,210671,0,4,2018,haryana
3854,karnal district,149062,0,4,2018,haryana
3855,fatehabad district,88259,0,4,2018,haryana
3856,palwal district,113042,0,4,2018,haryana
3857,charkhi dadri district,29865,0,4,2018,haryana
3858,ambala district,114192,0,4,2018,haryana
3859,rewari district,172035,0,4,2018,haryana
3860,panchkula district,88703,0,4,2018,haryana
3861,bhiwani district,111607,0,4,2018,haryana
3862,sirsa district,127874,0,4,2018,haryana
3863,mewat district,71400,0,4,2018,haryana
3864,panipat district,153137,0,4,2018,haryana
3865,gurugram district,967781,0,4,2018,haryana
3866,kaithal district,82556,0,4,2018,haryana
3867,kurukshetra district,97619,0,4,2018,haryana
3868,jhajjar district,114488,0,4,2018,haryana
3869,yamunanagar district,111935,0,1,2019,haryana
3870,sonipat district,199593,0,1,2019,haryana
3871,jind district,121923,0,1,2019,haryana
