S.no,Transacton_type,Total_Transactions_count,Total_Amount,Quarter,Year,State
1945,Recharge & bill payments,4696,1186947.554,3,2020,lakshadweep
1946,Peer-to-peer payments,2946,19189391.62,3,2020,lakshadweep
1947,Merchant payments,903,842981.1695,3,2020,lakshadweep
1948,Financial Services,27,45457.5097,3,2020,lakshadweep
1949,Others,17,42055.45695,3,2020,lakshadweep
1950,Recharge & bill payments,5187,1499298.113,4,2020,lakshadweep
1951,Peer-to-peer payments,4741,27284123.25,4,2020,lakshadweep
1952,Merchant payments,1668,1227101.638,4,2020,lakshadweep
1953,Financial Services,22,13968.754,4,2020,lakshadweep
1954,Others,32,86826.16676,4,2020,lakshadweep
1955,Peer-to-peer payments,3942,24823715.02,1,2021,lakshadweep
1956,Recharge & bill payments,3541,1070209.422,1,2021,lakshadweep
1957,Merchant payments,1537,1040213.795,1,2021,lakshadweep
1958,Financial Services,19,15929.09511,1,2021,lakshadweep
1959,Others,46,92715.58431,1,2021,lakshadweep
1960,Recharge & bill payments,5499,1745295.828,2,2021,lakshadweep
1961,Peer-to-peer payments,4069,23996417.49,2,2021,lakshadweep
1962,Merchant payments,1743,1525331.915,2,2021,lakshadweep
1963,Financial Services,29,15052.0185,2,2021,lakshadweep
1964,Others,44,101366.4031,2,2021,lakshadweep
1965,Peer-to-peer payments,5687,34142107.52,3,2021,lakshadweep
1966,Recharge & bill payments,5153,1700287.473,3,2021,lakshadweep
1967,Merchant payments,2450,2750367.063,3,2021,lakshadweep
1968,Financial Services,48,137227.3539,3,2021,lakshadweep
1969,Others,32,73174.28817,3,2021,lakshadweep
1970,Peer-to-peer payments,7154,44696668.86,4,2021,lakshadweep
1971,Recharge & bill payments,5355,2093901.292,4,2021,lakshadweep
1972,Merchant payments,2872,4071239.087,4,2021,lakshadweep
1973,Financial Services,27,19994.54195,4,2021,lakshadweep
1974,Others,62,116381.746,4,2021,lakshadweep
1975,Peer-to-peer payments,7913,48590864.57,1,2022,lakshadweep
1976,Recharge & bill payments,5334,2322580.17,1,2022,lakshadweep
1977,Merchant payments,3048,3838358.359,1,2022,lakshadweep
1978,Financial Services,39,38274.22629,1,2022,lakshadweep
1979,Others,63,149355.3311,1,2022,lakshadweep
1980,Peer-to-peer payments,8491,48451728.05,2,2022,lakshadweep
1981,Recharge & bill payments,5366,2386144.715,2,2022,lakshadweep
1982,Merchant payments,3602,4895657.06,2,2022,lakshadweep
1983,Financial Services,59,87127.82495,2,2022,lakshadweep
1984,Others,51,108944.3427,2,2022,lakshadweep
1985,Peer-to-peer payments,7533,40029003.83,3,2022,lakshadweep
1986,Recharge & bill payments,4441,1936538.307,3,2022,lakshadweep
1987,Merchant payments,3142,5469200.646,3,2022,lakshadweep
1988,Financial Services,64,63629.88417,3,2022,lakshadweep
1989,Others,61,81636.95473,3,2022,lakshadweep
1990,Peer-to-peer payments,8686,47450386,4,2022,lakshadweep
1991,Recharge & bill payments,4557,2024739.154,4,2022,lakshadweep
1992,Merchant payments,3819,5250991.002,4,2022,lakshadweep
1993,Financial Services,35,26453.02478,4,2022,lakshadweep
1994,Others,50,61304.43025,4,2022,lakshadweep
1995,Recharge & bill payments,4404190,667057311.5,1,2018,madhya-pradesh
1996,Peer-to-peer payments,2848290,7590790589,1,2018,madhya-pradesh
1997,Financial Services,230519,43374288.98,1,2018,madhya-pradesh
1998,Merchant payments,196394,170119673.7,1,2018,madhya-pradesh
1999,Others,346002,210261540.7,1,2018,madhya-pradesh
2000,Recharge & bill payments,5324535,1132090446,2,2018,madhya-pradesh
2001,Peer-to-peer payments,4269392,14155603482,2,2018,madhya-pradesh
2002,Merchant payments,397135,339308203.2,2,2018,madhya-pradesh
2003,Financial Services,305553,53860331.81,2,2018,madhya-pradesh
2004,Others,264797,243218603.3,2,2018,madhya-pradesh
2005,Peer-to-peer payments,9988509,22057686209,3,2018,madhya-pradesh
2006,Recharge & bill payments,5733261,1367773857,3,2018,madhya-pradesh
2007,Merchant payments,784995,465390819.6,3,2018,madhya-pradesh
2008,Financial Services,359440,46120458.64,3,2018,madhya-pradesh
2009,Others,260780,212770861.2,3,2018,madhya-pradesh
2010,Peer-to-peer payments,11456555,30897348665,4,2018,madhya-pradesh
2011,Recharge & bill payments,7273502,1669345517,4,2018,madhya-pradesh
2012,Merchant payments,2056426,1036249754,4,2018,madhya-pradesh
2013,Financial Services,313540,43367243.15,4,2018,madhya-pradesh
2014,Others,297532,259296894,4,2018,madhya-pradesh
2015,Peer-to-peer payments,23708825,44114206183,1,2019,madhya-pradesh
2016,Recharge & bill payments,9966905,2423593842,1,2019,madhya-pradesh
2017,Merchant payments,3018928,1263699222,1,2019,madhya-pradesh
2018,Financial Services,290838,28901169.29,1,2019,madhya-pradesh
2019,Others,315553,239879105.6,1,2019,madhya-pradesh
2020,Peer-to-peer payments,20868744,61758841794,2,2019,madhya-pradesh
2021,Recharge & bill payments,12044969,3571897178,2,2019,madhya-pradesh
2022,Merchant payments,7331352,2671155681,2,2019,madhya-pradesh
2023,Financial Services,149197,18869661.51,2,2019,madhya-pradesh
2024,Others,451751,313802065.4,2,2019,madhya-pradesh
2025,Peer-to-peer payments,22631038,67648107703,3,2019,madhya-pradesh
2026,Merchant payments,17163551,5147459307,3,2019,madhya-pradesh
2027,Recharge & bill payments,13156616,4576521609,3,2019,madhya-pradesh
2028,Financial Services,192821,25654168.6,3,2019,madhya-pradesh
2029,Others,466385,278578703,3,2019,madhya-pradesh
2030,Peer-to-peer payments,32083162,92064471162,4,2019,madhya-pradesh
2031,Merchant payments,19447707,7304157802,4,2019,madhya-pradesh
2032,Recharge & bill payments,16081734,5104821721,4,2019,madhya-pradesh
2033,Financial Services,127116,24020060.93,4,2019,madhya-pradesh
2034,Others,392270,190456045.3,4,2019,madhya-pradesh
2035,Peer-to-peer payments,34540722,1.10E+11,1,2020,madhya-pradesh
2036,Merchant payments,24618074,9898242848,1,2020,madhya-pradesh
2037,Recharge & bill payments,19788516,6311610610,1,2020,madhya-pradesh
2038,Financial Services,68055,30645714.4,1,2020,madhya-pradesh
2039,Others,351379,170790656.3,1,2020,madhya-pradesh
2040,Peer-to-peer payments,34860958,1.28E+11,2,2020,madhya-pradesh
2041,Recharge & bill payments,27497528,8904067957,2,2020,madhya-pradesh
2042,Merchant payments,13685723,10666223054,2,2020,madhya-pradesh
2043,Financial Services,80988,62073621.44,2,2020,madhya-pradesh
2044,Others,215376,104956802.2,2,2020,madhya-pradesh
2045,Peer-to-peer payments,50871564,1.75E+11,3,2020,madhya-pradesh
2046,Merchant payments,31879804,20621273982,3,2020,madhya-pradesh
2047,Recharge & bill payments,25380467,9834190567,3,2020,madhya-pradesh
2048,Financial Services,131725,122971108.1,3,2020,madhya-pradesh
2049,Others,316321,144259293.3,3,2020,madhya-pradesh
2050,Peer-to-peer payments,67972167,2.36E+11,4,2020,madhya-pradesh
2051,Merchant payments,57707471,37315576877,4,2020,madhya-pradesh
2052,Recharge & bill payments,27335834,10977774483,4,2020,madhya-pradesh
2053,Financial Services,149532,132590450.1,4,2020,madhya-pradesh
2054,Others,487537,264996097.6,4,2020,madhya-pradesh
2055,Merchant payments,84812245,50098244500,1,2021,madhya-pradesh
2056,Peer-to-peer payments,84070625,2.80E+11,1,2021,madhya-pradesh
2057,Recharge & bill payments,32500681,13060914041,1,2021,madhya-pradesh
2058,Financial Services,169378,161838389.8,1,2021,madhya-pradesh
2059,Others,445569,274786748.1,1,2021,madhya-pradesh
2060,Peer-to-peer payments,99367521,3.49E+11,2,2021,madhya-pradesh
2061,Merchant payments,77113464,58839392450,2,2021,madhya-pradesh
2062,Recharge & bill payments,46118636,17230546399,2,2021,madhya-pradesh
2063,Financial Services,188726,177313389.7,2,2021,madhya-pradesh
2064,Others,526333,317753606,2,2021,madhya-pradesh
2065,Merchant payments,138433772,85885669792,3,2021,madhya-pradesh
2066,Peer-to-peer payments,127654821,3.99E+11,3,2021,madhya-pradesh
2067,Recharge & bill payments,44437315,19025346051,3,2021,madhya-pradesh
2068,Financial Services,174454,180366422.6,3,2021,madhya-pradesh
2069,Others,742972,408508699.4,3,2021,madhya-pradesh
2070,Merchant payments,197193842,1.26E+11,4,2021,madhya-pradesh
2071,Peer-to-peer payments,159649020,5.07E+11,4,2021,madhya-pradesh
2072,Recharge & bill payments,46220966,22492766779,4,2021,madhya-pradesh
2073,Financial Services,247925,246488171.4,4,2021,madhya-pradesh
2074,Others,996331,568617375.6,4,2021,madhya-pradesh
2075,Merchant payments,237691924,1.43E+11,1,2022,madhya-pradesh
2076,Peer-to-peer payments,185008444,5.78E+11,1,2022,madhya-pradesh
2077,Recharge & bill payments,48870314,25437774564,1,2022,madhya-pradesh
2078,Financial Services,222923,219927120.2,1,2022,madhya-pradesh
2079,Others,909453,495513514.8,1,2022,madhya-pradesh
2080,Merchant payments,287616385,1.74E+11,2,2022,madhya-pradesh
2081,Peer-to-peer payments,202093283,6.63E+11,2,2022,madhya-pradesh
2082,Recharge & bill payments,54318983,29125694282,2,2022,madhya-pradesh
2083,Financial Services,157672,153944499.7,2,2022,madhya-pradesh
2084,Others,713506,381178326.3,2,2022,madhya-pradesh
2085,Merchant payments,391105651,2.12E+11,3,2022,madhya-pradesh
2086,Peer-to-peer payments,267013695,7.81E+11,3,2022,madhya-pradesh
2087,Recharge & bill payments,72148870,39132574048,3,2022,madhya-pradesh
2088,Financial Services,240678,236981163.6,3,2022,madhya-pradesh
2089,Others,750665,442608716.7,3,2022,madhya-pradesh
2090,Merchant payments,492999084,2.73E+11,4,2022,madhya-pradesh
2091,Peer-to-peer payments,325467851,9.84E+11,4,2022,madhya-pradesh
2092,Recharge & bill payments,79289399,45143248069,4,2022,madhya-pradesh
2093,Financial Services,286931,278304972.6,4,2022,madhya-pradesh
2094,Others,785003,521508120.7,4,2022,madhya-pradesh
2095,Recharge & bill payments,9670237,2283567431,1,2018,maharashtra
2096,Peer-to-peer payments,5227770,18283896465,1,2018,maharashtra
2097,Merchant payments,616779,576964070.7,1,2018,maharashtra
2098,Financial Services,235051,60997258.06,1,2018,maharashtra
2099,Others,637197,506188033,1,2018,maharashtra
2100,Recharge & bill payments,12384216,3725800359,2,2018,maharashtra
2101,Peer-to-peer payments,7772336,30782831246,2,2018,maharashtra
2102,Merchant payments,1306326,1226121649,2,2018,maharashtra
2103,Financial Services,262875,85545909.44,2,2018,maharashtra
2104,Others,559987,536758077.8,2,2018,maharashtra
2105,Recharge & bill payments,14371791,4547486090,3,2018,maharashtra
2106,Peer-to-peer payments,13470065,45466534004,3,2018,maharashtra
2107,Merchant payments,2797204,1702220875,3,2018,maharashtra
2108,Financial Services,234598,52348968.01,3,2018,maharashtra
2109,Others,664880,492227795.6,3,2018,maharashtra
2110,Peer-to-peer payments,20824667,68974011019,4,2018,maharashtra
2111,Recharge & bill payments,18071025,5860865070,4,2018,maharashtra
2112,Merchant payments,6047705,3985195742,4,2018,maharashtra
2113,Financial Services,325121,77345546.53,4,2018,maharashtra
2114,Others,821705,621519669.5,4,2018,maharashtra
2115,Peer-to-peer payments,37360716,97373087988,1,2019,maharashtra
2116,Recharge & bill payments,24540041,8256500587,1,2019,maharashtra
2117,Merchant payments,12069119,5172594696,1,2019,maharashtra
2118,Financial Services,287569,49487746.21,1,2019,maharashtra
2119,Others,821624,569019903.9,1,2019,maharashtra
2120,Peer-to-peer payments,42546317,1.31E+11,2,2019,maharashtra
2121,Recharge & bill payments,29395661,12197234771,2,2019,maharashtra
2122,Merchant payments,27854042,9728561727,2,2019,maharashtra
2123,Financial Services,182840,45291636.11,2,2019,maharashtra
2124,Others,1170993,765228265.8,2,2019,maharashtra
2125,Peer-to-peer payments,57991699,1.66E+11,3,2019,maharashtra
2126,Merchant payments,54683738,17545729507,3,2019,maharashtra
2127,Recharge & bill payments,34309301,15471698544,3,2019,maharashtra
2128,Financial Services,231467,54108447.39,3,2019,maharashtra
2129,Others,1519376,814284077.9,3,2019,maharashtra
2130,Merchant payments,80127804,27209874138,4,2019,maharashtra
2131,Peer-to-peer payments,78795871,2.27E+11,4,2019,maharashtra
2132,Recharge & bill payments,40705998,17794666215,4,2019,maharashtra
2133,Financial Services,129755,49622863.82,4,2019,maharashtra
2134,Others,1501192,672210825,4,2019,maharashtra
2135,Merchant payments,100337738,35200130305,1,2020,maharashtra
2136,Peer-to-peer payments,87067410,2.63E+11,1,2020,maharashtra
2137,Recharge & bill payments,50199498,21603565070,1,2020,maharashtra
2138,Financial Services,123476,91363684.13,1,2020,maharashtra
2139,Others,1215959,558931962.9,1,2020,maharashtra
2140,Peer-to-peer payments,74295930,2.40E+11,2,2020,maharashtra
2141,Recharge & bill payments,60856480,23112343247,2,2020,maharashtra
2142,Merchant payments,48965388,32859184582,2,2020,maharashtra
2143,Financial Services,206461,211733275.8,2,2020,maharashtra
2144,Others,466502,242917371.3,2,2020,maharashtra
2145,Peer-to-peer payments,108436214,3.52E+11,3,2020,maharashtra
2146,Merchant payments,100808237,60171102124,3,2020,maharashtra
2147,Recharge & bill payments,58082283,27915727883,3,2020,maharashtra
2148,Financial Services,325453,333669599.6,3,2020,maharashtra
2149,Others,658737,331024593.1,3,2020,maharashtra
2150,Merchant payments,189845640,1.04E+11,4,2020,maharashtra
2151,Peer-to-peer payments,151741840,4.86E+11,4,2020,maharashtra
2152,Recharge & bill payments,64556682,31556917822,4,2020,maharashtra
2153,Financial Services,398409,418399992.5,4,2020,maharashtra
2154,Others,1078433,627692680.4,4,2020,maharashtra
2155,Merchant payments,253043309,1.29E+11,1,2021,maharashtra
2156,Peer-to-peer payments,187021609,5.99E+11,1,2021,maharashtra
2157,Recharge & bill payments,76389103,40057211827,1,2021,maharashtra
2158,Financial Services,439551,492900202.7,1,2021,maharashtra
2159,Others,966668,630909553.5,1,2021,maharashtra
2160,Merchant payments,247194293,1.51E+11,2,2021,maharashtra
2161,Peer-to-peer payments,228551961,7.20E+11,2,2021,maharashtra
2162,Recharge & bill payments,96271138,43154405548,2,2021,maharashtra
2163,Financial Services,504252,536780917,2,2021,maharashtra
2164,Others,1094842,699738247.7,2,2021,maharashtra
2165,Merchant payments,390051884,2.17E+11,3,2021,maharashtra
2166,Peer-to-peer payments,296951706,8.91E+11,3,2021,maharashtra
2167,Recharge & bill payments,103943973,50242023586,3,2021,maharashtra
2168,Financial Services,448646,579098938.7,3,2021,maharashtra
2169,Others,1477851,873324624.2,3,2021,maharashtra
2170,Merchant payments,540351277,3.06E+11,4,2021,maharashtra
2171,Peer-to-peer payments,361865450,1.11E+12,4,2021,maharashtra
2172,Recharge & bill payments,105990417,58087950922,4,2021,maharashtra
2173,Financial Services,606265,707102765.3,4,2021,maharashtra
2174,Others,1918093,1188658731,4,2021,maharashtra
2175,Merchant payments,646277671,3.40E+11,1,2022,maharashtra
2176,Peer-to-peer payments,411989717,1.27E+12,1,2022,maharashtra
2177,Recharge & bill payments,108896881,64507860104,1,2022,maharashtra
2178,Financial Services,583243,677612619.3,1,2022,maharashtra
2179,Others,1758926,1084139454,1,2022,maharashtra
2180,Merchant payments,810961772,4.28E+11,2,2022,maharashtra
2181,Peer-to-peer payments,470258043,1.50E+12,2,2022,maharashtra
2182,Recharge & bill payments,124280427,75110969246,2,2022,maharashtra
2183,Financial Services,490152,559321829.5,2,2022,maharashtra
2184,Others,1542719,930827919.3,2,2022,maharashtra
2185,Merchant payments,876618082,4.32E+11,3,2022,maharashtra
2186,Peer-to-peer payments,483481713,1.43E+12,3,2022,maharashtra
2187,Recharge & bill payments,124545840,79360150487,3,2022,maharashtra
2188,Financial Services,521362,571583115.7,3,2022,maharashtra
2189,Others,1222420,831183386.5,3,2022,maharashtra
2190,Merchant payments,1025666187,5.03E+11,4,2022,maharashtra
2191,Peer-to-peer payments,535142126,1.62E+12,4,2022,maharashtra
2192,Recharge & bill payments,126118544,83576414221,4,2022,maharashtra
2193,Financial Services,620124,699276779.2,4,2022,maharashtra
2194,Others,1228291,914951674.5,4,2022,maharashtra
2195,Recharge & bill payments,50212,6463184.555,1,2018,manipur
2196,Peer-to-peer payments,26382,115495173.6,1,2018,manipur
2197,Financial Services,2660,412579.5399,1,2018,manipur
2198,Merchant payments,1614,3616475.641,1,2018,manipur
2199,Others,3201,2058760.637,1,2018,manipur
2200,Recharge & bill payments,77991,11541247.78,2,2018,manipur
2201,Peer-to-peer payments,60365,232157389.8,2,2018,manipur
2202,Financial Services,5992,1241901.266,2,2018,manipur
2203,Merchant payments,4041,5366759.828,2,2018,manipur
2204,Others,3332,2902422.65,2,2018,manipur
2205,Peer-to-peer payments,95204,357768750.2,3,2018,manipur
2206,Recharge & bill payments,81323,13912990.48,3,2018,manipur
2207,Merchant payments,7396,9180953.977,3,2018,manipur
2208,Financial Services,2577,333081.6368,3,2018,manipur
2209,Others,2758,2135468.51,3,2018,manipur
2210,Recharge & bill payments,113507,18898063.28,4,2018,manipur
2211,Peer-to-peer payments,104872,562009596,4,2018,manipur
2212,Merchant payments,13333,20685433.28,4,2018,manipur
2213,Financial Services,1452,307325.2438,4,2018,manipur
2214,Others,2946,3783141.535,4,2018,manipur
2215,Peer-to-peer payments,127067,619919870.7,1,2019,manipur
2216,Recharge & bill payments,120000,22106830.37,1,2019,manipur
2217,Merchant payments,15190,14580183.38,1,2019,manipur
2218,Financial Services,800,174777.1728,1,2019,manipur
2219,Others,2352,3116398.756,1,2019,manipur
2220,Peer-to-peer payments,120153,679785849.1,2,2019,manipur
2221,Recharge & bill payments,116500,23573234.27,2,2019,manipur
2222,Merchant payments,18044,15996651.15,2,2019,manipur
2223,Financial Services,387,91955.01538,2,2019,manipur
2224,Others,2341,3342252.575,2,2019,manipur
2225,Recharge & bill payments,180057,36634657.05,3,2019,manipur
2226,Peer-to-peer payments,144965,803335616.6,3,2019,manipur
2227,Merchant payments,17683,20490224.44,3,2019,manipur
2228,Financial Services,358,367865.7885,3,2019,manipur
2229,Others,1945,2723638.65,3,2019,manipur
2230,Recharge & bill payments,212136,44202546.57,4,2019,manipur
2231,Peer-to-peer payments,211927,1123258478,4,2019,manipur
2232,Merchant payments,23094,30486780.45,4,2019,manipur
2233,Financial Services,548,240641.7658,4,2019,manipur
2234,Others,1639,2709234.857,4,2019,manipur
2235,Peer-to-peer payments,451733,2458093402,1,2020,manipur
2236,Recharge & bill payments,285234,62688260.38,1,2020,manipur
2237,Merchant payments,78067,74202067.07,1,2020,manipur
2238,Financial Services,622,354184.4661,1,2020,manipur
2239,Others,3145,3252467.224,1,2020,manipur
2240,Peer-to-peer payments,533206,2980242535,2,2020,manipur
2241,Recharge & bill payments,450830,107589094.3,2,2020,manipur
2242,Merchant payments,92110,106540409.3,2,2020,manipur
2243,Financial Services,1676,1457570.8,2,2020,manipur
2244,Others,5246,3106603.332,2,2020,manipur
2245,Peer-to-peer payments,774786,4301284799,3,2020,manipur
2246,Recharge & bill payments,464659,113190539.1,3,2020,manipur
2247,Merchant payments,170653,195132026.6,3,2020,manipur
2248,Financial Services,1878,1593035.944,3,2020,manipur
2249,Others,8192,4775719.814,3,2020,manipur
2250,Peer-to-peer payments,892853,5172499338,4,2020,manipur
2251,Recharge & bill payments,436450,114202616.3,4,2020,manipur
2252,Merchant payments,289050,307902115.4,4,2020,manipur
2253,Financial Services,1806,2448402.914,4,2020,manipur
2254,Others,7693,5172086.283,4,2020,manipur
2255,Peer-to-peer payments,1117829,6402367884,1,2021,manipur
2256,Recharge & bill payments,796590,223955812.6,1,2021,manipur
2257,Merchant payments,377280,433297594.1,1,2021,manipur
2258,Financial Services,3398,4385333.175,1,2021,manipur
2259,Others,8438,6280890.915,1,2021,manipur
2260,Peer-to-peer payments,1372821,7041837918,2,2021,manipur
2261,Recharge & bill payments,1187952,305103750.6,2,2021,manipur
2262,Merchant payments,510734,531484849.5,2,2021,manipur
2263,Financial Services,4165,4256098.232,2,2021,manipur
2264,Others,10603,7145346.315,2,2021,manipur
2265,Peer-to-peer payments,1819423,9134806595,3,2021,manipur
2266,Recharge & bill payments,1368584,367664440.5,3,2021,manipur
2267,Merchant payments,735707,889317377.1,3,2021,manipur
2268,Financial Services,3460,5625517.975,3,2021,manipur
2269,Others,14222,9447098.782,3,2021,manipur
2270,Peer-to-peer payments,2199970,10998828288,4,2021,manipur
2271,Recharge & bill payments,1451488,412791673.8,4,2021,manipur
2272,Merchant payments,1013985,1229517397,4,2021,manipur
2273,Financial Services,4671,5941100.581,4,2021,manipur
2274,Others,17325,11393578.84,4,2021,manipur
2275,Peer-to-peer payments,2517626,12169368063,1,2022,manipur
2276,Recharge & bill payments,1528476,469035958.3,1,2022,manipur
2277,Merchant payments,1247205,1489604137,1,2022,manipur
2278,Financial Services,4878,6057615.527,1,2022,manipur
2279,Others,15494,10435303.88,1,2022,manipur
2280,Peer-to-peer payments,2843426,12704512239,2,2022,manipur
2281,Merchant payments,1709547,1757831052,2,2022,manipur
2282,Recharge & bill payments,1533778,448637966.7,2,2022,manipur
2283,Financial Services,4069,4753628.558,2,2022,manipur
2284,Others,14812,7175748.992,2,2022,manipur
2285,Peer-to-peer payments,3127266,12927705072,3,2022,manipur
2286,Merchant payments,1829741,2010460357,3,2022,manipur
2287,Recharge & bill payments,1379911,432182393.8,3,2022,manipur
2288,Financial Services,4524,4671353.405,3,2022,manipur
2289,Others,11300,6411090.828,3,2022,manipur
2290,Peer-to-peer payments,3259645,13133729481,4,2022,manipur
2291,Merchant payments,1828984,2074698993,4,2022,manipur
2292,Recharge & bill payments,1325391,406031254.1,4,2022,manipur
2293,Financial Services,4691,5754919.964,4,2022,manipur
2294,Others,9959,5742049.404,4,2022,manipur
2295,Recharge & bill payments,31857,6028476.149,1,2018,meghalaya
2296,Peer-to-peer payments,13274,55943496.52,1,2018,meghalaya
2297,Merchant payments,1605,2395888.44,1,2018,meghalaya
2298,Financial Services,532,144318.2546,1,2018,meghalaya
2299,Others,2303,1738080.431,1,2018,meghalaya
2300,Recharge & bill payments,42625,9657896.165,2,2018,meghalaya
2301,Peer-to-peer payments,19894,101140464.7,2,2018,meghalaya
2302,Merchant payments,2929,3663446.436,2,2018,meghalaya
2303,Financial Services,592,580648.3434,2,2018,meghalaya
2304,Others,1817,1962212.235,2,2018,meghalaya
2305,Recharge & bill payments,60625,14231601.45,3,2018,meghalaya
2306,Peer-to-peer payments,40832,187460582.1,3,2018,meghalaya
2307,Merchant payments,5802,5458930.689,3,2018,meghalaya
2308,Financial Services,748,552674.5783,3,2018,meghalaya
2309,Others,2283,2149872.756,3,2018,meghalaya
2310,Recharge & bill payments,82962,18100891.64,4,2018,meghalaya
2311,Peer-to-peer payments,58952,301941442.7,4,2018,meghalaya
2312,Merchant payments,15768,14434314.19,4,2018,meghalaya
2313,Financial Services,763,190875.1885,4,2018,meghalaya
2314,Others,2687,2918155.28,4,2018,meghalaya
2315,Recharge & bill payments,98817,23006751.8,1,2019,meghalaya
2316,Peer-to-peer payments,90694,358932132.1,1,2019,meghalaya
2317,Merchant payments,16073,14297275.23,1,2019,meghalaya
2318,Financial Services,659,62335.06475,1,2019,meghalaya
2319,Others,2498,2738667.958,1,2019,meghalaya
2320,Recharge & bill payments,108812,27248605.43,2,2019,meghalaya
2321,Peer-to-peer payments,97407,446537199.2,2,2019,meghalaya
2322,Merchant payments,22588,15600927.01,2,2019,meghalaya
2323,Financial Services,460,106800.7531,2,2019,meghalaya
2324,Others,3019,3437756.745,2,2019,meghalaya
2325,Recharge & bill payments,155949,38916251.42,3,2019,meghalaya
2326,Peer-to-peer payments,116168,546221812.7,3,2019,meghalaya
2327,Merchant payments,31201,23461321.89,3,2019,meghalaya
2328,Financial Services,421,584192.9488,3,2019,meghalaya
2329,Others,2811,3035023.204,3,2019,meghalaya
2330,Recharge & bill payments,175084,43611775.03,4,2019,meghalaya
2331,Peer-to-peer payments,163734,670870023.4,4,2019,meghalaya
2332,Merchant payments,24430,25344714.51,4,2019,meghalaya
2333,Financial Services,382,124511.6361,4,2019,meghalaya
2334,Others,2351,2485447.193,4,2019,meghalaya
2335,Recharge & bill payments,226214,59666071.22,1,2020,meghalaya
2336,Peer-to-peer payments,216022,1013733312,1,2020,meghalaya
2337,Merchant payments,57245,44125206.35,1,2020,meghalaya
2338,Financial Services,473,402779.8903,1,2020,meghalaya
2339,Others,2329,2207471.061,1,2020,meghalaya
2340,Recharge & bill payments,382662,100570200.3,2,2020,meghalaya
2341,Peer-to-peer payments,202270,998750895.9,2,2020,meghalaya
2342,Merchant payments,46014,48980521.42,2,2020,meghalaya
2343,Financial Services,1186,2944583.115,2,2020,meghalaya
2344,Others,3263,2488953.644,2,2020,meghalaya
2345,Recharge & bill payments,342484,97662913.13,3,2020,meghalaya
2346,Peer-to-peer payments,194448,1065012682,3,2020,meghalaya
2347,Merchant payments,55595,67511647.13,3,2020,meghalaya
2348,Financial Services,1587,4049966.813,3,2020,meghalaya
2349,Others,3465,2821792.588,3,2020,meghalaya
2350,Recharge & bill payments,350006,102794647.8,4,2020,meghalaya
2351,Peer-to-peer payments,286252,1579858348,4,2020,meghalaya
2352,Merchant payments,111471,115136797.6,4,2020,meghalaya
2353,Financial Services,1809,2774557.112,4,2020,meghalaya
2354,Others,4470,3678221.666,4,2020,meghalaya
2355,Peer-to-peer payments,326993,1794745857,1,2021,meghalaya
2356,Recharge & bill payments,306634,106098525.7,1,2021,meghalaya
2357,Merchant payments,108805,147747773,1,2021,meghalaya
2358,Financial Services,1777,3981898.046,1,2021,meghalaya
2359,Others,3437,2941223.95,1,2021,meghalaya
2360,Recharge & bill payments,389959,129031455.7,2,2021,meghalaya
2361,Peer-to-peer payments,366411,1885041504,2,2021,meghalaya
2362,Merchant payments,147406,173894963,2,2021,meghalaya
2363,Financial Services,1766,2306496.855,2,2021,meghalaya
2364,Others,4052,3342835.527,2,2021,meghalaya
2365,Peer-to-peer payments,473274,2348008593,3,2021,meghalaya
2366,Recharge & bill payments,418429,144363692.8,3,2021,meghalaya
2367,Merchant payments,199427,270311210.9,3,2021,meghalaya
2368,Financial Services,1556,2379067.115,3,2021,meghalaya
2369,Others,5045,3937887.554,3,2021,meghalaya
2370,Peer-to-peer payments,669693,3233210262,4,2021,meghalaya
2371,Recharge & bill payments,447310,165277548.5,4,2021,meghalaya
2372,Merchant payments,314445,442464385,4,2021,meghalaya
2373,Financial Services,1989,2464327.924,4,2021,meghalaya
2374,Others,6756,5348877.037,4,2021,meghalaya
2375,Peer-to-peer payments,801009,3899172009,1,2022,meghalaya
2376,Recharge & bill payments,459530,192026788.6,1,2022,meghalaya
2377,Merchant payments,405859,563004043.9,1,2022,meghalaya
2378,Financial Services,2134,3019251.86,1,2022,meghalaya
2379,Others,6218,5116238.236,1,2022,meghalaya
2380,Peer-to-peer payments,977816,4359000096,2,2022,meghalaya
2381,Merchant payments,591364,714995836.6,2,2022,meghalaya
2382,Recharge & bill payments,467745,200896879.7,2,2022,meghalaya
2383,Financial Services,1880,2406087.095,2,2022,meghalaya
2384,Others,5844,4192522.345,2,2022,meghalaya
2385,Peer-to-peer payments,2050942,7796315454,3,2022,meghalaya
2386,Merchant payments,1486098,1468318733,3,2022,meghalaya
2387,Recharge & bill payments,810017,330230375.9,3,2022,meghalaya
2388,Financial Services,3504,3106775.386,3,2022,meghalaya
2389,Others,8604,5329459.166,3,2022,meghalaya
2390,Peer-to-peer payments,1901671,7328913724,4,2022,meghalaya
2391,Merchant payments,1334431,1381013597,4,2022,meghalaya
2392,Recharge & bill payments,685678,278377945.4,4,2022,meghalaya
2393,Financial Services,3544,3564357.12,4,2022,meghalaya
2394,Others,7124,4671532.631,4,2022,meghalaya
2395,Recharge & bill payments,10155,2199565.259,1,2018,mizoram
2396,Peer-to-peer payments,6845,41186717.28,1,2018,mizoram
2397,Merchant payments,616,1066002.167,1,2018,mizoram
